tweet_id,name,rating_numerator,rating_denominator,dog_class,predicted_breed,conf
892420643555336193,Phineas,13.0,10.0,unclassified,Banana,0.07611
892177421306343426,Tilly,13.0,10.0,unclassified,Chihuahua,0.323581
891815181378084864,Archie,12.0,10.0,unclassified,Chihuahua,0.716012
891689557279858688,Darla,13.0,10.0,unclassified,Labrador Retriever,0.1680859999999999
891327558926688256,Franklin,12.0,10.0,unclassified,Basset,0.555712
891087950875897856,Nameless,13.0,10.0,unclassified,Chesapeake Bay Retriever,0.425595
890971913173991426,Jax,13.0,10.0,unclassified,Appenzeller,0.341703
890729181411237888,Nameless,13.0,10.0,unclassified,Pomeranian,0.566142
890609185150312448,Zoey,13.0,10.0,unclassified,Irish Terrier,0.4875739999999999
890240255349198849,Cassie,14.0,10.0,doggo,Pembroke,0.511319
890006608113172480,Koda,13.0,10.0,unclassified,Samoyed,0.957979
889880896479866881,Bruno,13.0,10.0,unclassified,French Bulldog,0.377417
889665388333682689,Nameless,13.0,10.0,puppo,Pembroke,0.966327
889638837579907072,Ted,12.0,10.0,unclassified,French Bulldog,0.99165
889531135344209921,Stuart,13.0,10.0,puppo,Golden Retriever,0.953442
889278841981685760,Oliver,13.0,10.0,unclassified,Whippet,0.626152
888917238123831296,Jim,12.0,10.0,unclassified,Golden Retriever,0.714719
888804989199671297,Zeke,13.0,10.0,unclassified,Golden Retriever,0.46976
888554962724278272,Ralphus,13.0,10.0,unclassified,Siberian Husky,0.700377
888078434458587136,Gerald,12.0,10.0,unclassified,French Bulldog,0.995026
887705289381826560,Jeffrey,13.0,10.0,unclassified,Basset,0.821664
887517139158093824,Nameless,14.0,10.0,unclassified,Shopping Cart,0.0263208
887473957103951883,Canela,13.0,10.0,unclassified,Pembroke,0.809197
887343217045368832,Nameless,13.0,10.0,unclassified,Mexican Hairless,0.330741
887101392804085760,Nameless,12.0,10.0,unclassified,Samoyed,0.733942
886983233522544640,Maya,13.0,10.0,unclassified,Chihuahua,0.793469
886736880519319552,Mingus,13.0,10.0,unclassified,Kuvasz,0.309706
886680336477933568,Derek,13.0,10.0,unclassified,Car Wheel,0.0441726999999999
886366144734445568,Roscoe,12.0,10.0,pupper,French Bulldog,0.999201
886258384151887873,Waffles,13.0,10.0,unclassified,Pug,0.943575
885984800019947520,Jimbo,12.0,10.0,unclassified,Blenheim Spaniel,0.972494
885528943205470208,Maisey,13.0,10.0,unclassified,Pug,0.369275
885167619883638784,Nameless,13.0,10.0,unclassified,Malamute,0.8124819999999999
884925521741709313,Earl,12.0,10.0,unclassified,Italian Greyhound,0.259916
884876753390489601,Lola,13.0,10.0,unclassified,Chow,0.822103
884562892145688576,Kevin,13.0,10.0,unclassified,Pug,0.5464060000000001
884441805382717440,Nameless,14.0,10.0,unclassified,Pembroke,0.993225
884162670584377345,Yogi,12.0,10.0,doggo,German Shepherd,0.707046
883838122936631299,Noah,12.0,10.0,unclassified,Doberman,0.610946
883482846933004288,Bella,13.5,10.0,unclassified,Golden Retriever,0.943082
883360690899218434,Grizzwald,13.0,10.0,floofer,Chow,0.987997
883117836046086144,Nameless,13.0,10.0,unclassified,Golden Retriever,0.949562
882992080364220416,Rusty,13.0,10.0,unclassified,Eskimo Dog,0.4667779999999999
882762694511734784,Gus,12.0,10.0,pupper,Labrador Retriever,0.85005
882627270321602560,Stanley,13.0,10.0,unclassified,Pembroke,0.542982
882268110199369728,Alfy,13.0,10.0,unclassified,Golden Retriever,0.762211
882045870035918850,Koko,13.0,10.0,unclassified,Golden Retriever,0.00694063
881906580714921986,Rey,12.0,10.0,unclassified,Weimaraner,0.291539
881666595344535552,Gary,13.0,10.0,unclassified,Saluki,0.529012
881536004380872706,Nameless,14.0,10.0,pupper,Samoyed,0.281463
881268444196462592,Elliot,12.0,10.0,unclassified,Ibex,0.0556607
880935762899988482,Louis,13.0,10.0,unclassified,Traffic Light,0.0695338
880872448815771648,Nameless,12.0,10.0,unclassified,Pembroke,0.791416
880465832366813184,Bella,12.0,10.0,unclassified,Golden Retriever,0.913255
880221127280381952,Jesse,12.0,10.0,unclassified,Chihuahua,0.238525
880095782870896641,Nameless,11.0,10.0,unclassified,Miniature Pinscher,0.120298
879862464715927552,Romeo,13.0,10.0,unclassified,Basset,0.813507
879492040517615616,Bailey,12.0,10.0,unclassified,German Short-Haired Pointer,0.479896
879415818425184262,Duddles,13.0,10.0,unclassified,English Springer,0.383404
879376492567855104,Jack,12.0,10.0,unclassified,Labrador Retriever,0.0334961
879050749262655488,Steven,11.0,10.0,unclassified,Egyptian Cat,0.132932
879008229531029506,Beau,13.0,10.0,unclassified,Vizsla,0.960513
878776093423087618,Snoopy,13.0,10.0,unclassified,Italian Greyhound,0.734684
878281511006478336,Shadow,13.0,10.0,unclassified,Basset,0.32042
878057613040115712,Emmy,14.0,10.0,unclassified,French Bulldog,0.839097
877736472329191424,Aja,13.0,10.0,unclassified,Chesapeake Bay Retriever,0.8379559999999999
877611172832227328,Nameless,14.0,10.0,pupper,Irish Setter,0.3647289999999999
877556246731214848,Penny,12.0,10.0,unclassified,Basset,0.995368
877316821321428993,Dante,13.0,10.0,unclassified,Saluki,0.5099670000000001
877201837425926144,Nelly,12.0,10.0,unclassified,Pembroke,0.93112
876838120628539392,Ginger,12.0,10.0,pupper,Bloodhound,0.575751
876484053909872640,Benedict,13.0,10.0,unclassified,Golden Retriever,0.874566
876120275196170240,Venti,13.0,10.0,unclassified,Bernese Mountain Dog,0.534327
875747767867523072,Goose,13.0,10.0,unclassified,Labrador Retriever,0.799551
875144289856114688,Nugget,13.0,10.0,unclassified,Siberian Husky,0.245048
875021211251597312,Nameless,12.0,10.0,unclassified,West Highland White Terrier,0.7143189999999999
874680097055178752,Cash,12.0,10.0,unclassified,Labrador Retriever,0.836052
874296783580663808,Jed,13.0,10.0,pupper,Cocker Spaniel,0.437216
874057562936811520,Nameless,12.0,10.0,unclassified,Flat-Coated Retriever,0.8321770000000001
874012996292530176,Sebastian,13.0,10.0,puppo,Cardigan,0.806674
873580283840344065,Nameless,13.0,10.0,unclassified,Newfoundland,0.678537
873213775632977920,Sierra,12.0,10.0,pupper,Vizsla,0.6197819999999999
872967104147763200,Nameless,12.0,10.0,doggo,Labrador Retriever,0.476913
872820683541237760,Nameless,13.0,10.0,unclassified,Pug,0.99912
872620804844003328,Monkey,13.0,10.0,unclassified,Cocker Spaniel,0.513191
872486979161796608,Nameless,12.0,10.0,unclassified,Pembroke,0.931861
872261713294495745,Harry,13.0,10.0,unclassified,Labrador Retriever,0.972019
872122724285648897,Kody,12.0,10.0,unclassified,Pug,0.0667363
871879754684805121,Lassie,13.0,10.0,unclassified,Shetland Sheepdog,0.969171
871762521631449091,Rover,12.0,10.0,pupper,Labrador Retriever,0.921393
871515927908634625,Napolean,12.0,10.0,doggo,Komondor,0.974781
871032628920680449,Boomer,13.0,10.0,unclassified,Kelpie,0.398053
870804317367881728,Nameless,11.0,10.0,unclassified,Television,0.0797293999999999
870656317836468226,Cody,13.0,10.0,unclassified,Pembroke,0.945495
870374049280663552,Zoey,13.0,10.0,unclassified,Golden Retriever,0.841001
870308999962521604,Rumble,13.0,10.0,unclassified,Greater Swiss Mountain Dog,0.6227520000000001
870063196459192321,Clifford,14.0,10.0,unclassified,Book Jacket,0.0437855
869772420881756160,Dewey,13.0,10.0,unclassified,Pembroke,0.980148
869702957897576449,Stanley,13.0,10.0,unclassified,Pembroke,0.993449
869596645499047938,Scout,12.0,10.0,doggo,Chihuahua,0.955156
869227993411051520,Gizmo,13.0,10.0,unclassified,Pembroke,0.664181
868880397819494401,Walter,14.0,10.0,unclassified,French Bulldog,0.0999839
868622495443632128,Nameless,13.0,10.0,unclassified,Labrador Retriever,0.868107
868552278524837888,Cooper,12.0,10.0,unclassified,Whippet,0.378151
867900495410671616,Nameless,12.0,10.0,unclassified,Labrador Retriever,0.522644
867774946302451713,Harold,13.0,10.0,unclassified,Border Collie,0.661953
867421006826221569,Shikha,12.0,10.0,puppo,Eskimo Dog,0.6164569999999999
867072653475098625,Nameless,13.0,10.0,unclassified,Blenheim Spaniel,0.352946
867051520902168576,Nameless,13.0,10.0,unclassified,Samoyed,0.4714029999999999
866686824827068416,Lili,12.0,10.0,unclassified,Flat-Coated Retriever,0.51473
866450705531457537,Jamesy,13.0,10.0,pupper,French Bulldog,0.905334
866334964761202691,Coco,12.0,10.0,unclassified,Samoyed,0.984086
865718153858494464,Boomer,13.0,10.0,unclassified,Golden Retriever,0.673664
865359393868664832,Sammy,13.0,10.0,unclassified,Chesapeake Bay Retriever,0.832435
865006731092295680,Nelly,13.0,10.0,unclassified,Pembroke,0.989882
864873206498414592,Nameless,14.0,10.0,unclassified,Wreck,0.0559265
864279568663928832,Meatball,12.0,10.0,unclassified,Bull Mastiff,0.668613
864197398364647424,Paisley,13.0,10.0,unclassified,Golden Retriever,0.945905
863907417377173506,Albus,13.0,10.0,unclassified,Weasel,0.123485
863553081350529029,Neptune,13.0,10.0,unclassified,Eskimo Dog,0.41333
863432100342583297,Belle,12.0,10.0,unclassified,Staffordshire Bullterrier,0.690517
863079547188785154,Nameless,14.0,10.0,unclassified,Lakeland Terrier,0.275242
863062471531167744,Quinn,13.0,10.0,unclassified,French Bulldog,0.935804
862831371563274240,Zooey,13.0,10.0,unclassified,Australian Terrier,0.207281
862722525377298433,Dave,11.0,10.0,unclassified,Basset,0.39333
862457590147678208,Jersey,13.0,10.0,unclassified,Barber Chair,0.052625
862096992088072192,Nameless,13.0,10.0,unclassified,Chow,0.677589
861383897657036800,Hobbes,13.0,10.0,unclassified,Cardigan,0.771008
861288531465048066,Nameless,13.0,10.0,unclassified,Bouvier Des Flandres,0.0826102
861005113778896900,Burt,12.0,10.0,unclassified,German Shepherd,0.507951
860924035999428608,Nameless,13.0,10.0,unclassified,Paper Towel,0.0111785
860563773140209665,Lorenzo,13.0,10.0,unclassified,Cardigan,0.583936
860524505164394496,Carl,13.0,10.0,unclassified,Bedlington Terrier,0.286558
860276583193509888,Jordy,12.0,10.0,unclassified,Canoe,0.0707945
860184849394610176,Nameless,14.0,10.0,unclassified,Orangutan,0.0599075
859924526012018688,Milky,12.0,10.0,unclassified,French Bulldog,0.254587
859851578198683649,Trooper,13.0,10.0,unclassified,Labrador Retriever,0.899086
859607811541651456,Nameless,13.0,10.0,puppo,Golden Retriever,0.8955290000000001
859196978902773760,Nameless,12.0,10.0,unclassified,Malamute,0.216163
859074603037188101,Nameless,13.0,10.0,unclassified,Fountain,0.0660466
